MB_16S_ID,MG_ID,MB_18S_ID,Date,Station,SAMPLE_TYPE,Cast,Sample_type,Julian_Day,LAT,LON,DEPTH
OBM05OSDNA,,,45865,05,Sediment,,DNA,2025208,39.2002,3.3018,1575
OBM06LSDNA,OBM06LSMG,,45865,06,Sediment,,DNA,2025208,39.3911,2.5579,74
OBM07OSDNA,,,45865,07,Sediment,,DNA,2025208,39.9553,2.0196,1396
OBM08LSDNA,,,45866,08,Sediment,,DNA,2025209,40.9927,1.1285,58
OBM09LSDNA,OBM09LSMG,,45866,09,Sediment,,DNA,2025209,40.7525,1.0468,77
OBM10OSDNA,,,45866,10,Sediment,,DNA,2025209,40.0115,1.294,1106
OBM11LSDNA,OBM11LSMG,,45867,11,Sediment,,DNA,2025210,39.3885,-0.1052,75
OBM12OSDNA,,,45867,12,Sediment,,DNA,2025210,39.1674,0.5729,1288
OBM13LSDNA,,,45867,13,Sediment,,DNA,2025210,38.853,1.2925,65
OBM14OSDNA,OBM14OSMG,,45868,14,Sediment,,DNA,2025211,38.0753,1.1474,1660
OBM15LSDNA,,,45868,15,Sediment,,DNA,2025211,38.3987,-0.301,102
OBM16LSDNA,OBM16LSMG,,45868,16,Sediment,,DNA,2025211,38.3335,-0.3115,72
OBM17LSDNA,OBM17LSMG,,45869,17,Sediment,,DNA,2025212,37.7004,-0.6013,72
OBM18LSDNA,OBM18LSMG,,45869,18,Sediment,,DNA,2025212,37.5321,-0.9856,73
OBM18LSBlDNA,,,45869,18,Sediment,,DNA,2025212,37.5321,-0.9856,73
OBM20OSDNA,OBM20OSMG,,45870,20,Sediment,,DNA,2025213,36.1205,-2.3706,1914
OBM21LSDNA,OBM21LSMG,,45870,21,Sediment,,DNA,2025213,36.7474,-2.4517,149
OBM22LSDNA,,,45870,22,Sediment,,DNA,2025213,36.7236,-3.2208,85
OBM23OSDNA,,,45871,23,Sediment,,DNA,2025214,36.1417,-4.6165,1063
OBM24OSDNA,OBM24OSMG,,45871,24,Sediment,,DNA,2025214,36.1,-4.882,842
OBM25LSDNA,,,45871,25,Sediment,,DNA,2025214,36.3948,-5.1353,62
OBM26LSDNA,OBM26LSMG,,45872,26,Sediment,,DNA,2025215,36.6715,-4.3709,50
MA01Wa02DNA,MA01Wa02DNA,,45859,Bistrina,Water,,DNA?,2025202,42.8708889,17.7038611,0
MA01Wb02DNA,,,45859,Bistrina,Water,,DNA?,2025202,42.8708889,17.7038611,0
MA02Wa02DNA,,,45859,Bistrina,Water,,DNA?,2025202,42.8708889,17.7038611,8
MA02Wb02DNA,,,45859,Bistrina,Water,,DNA?,2025202,42.8708889,17.7038611,8
MA03Wa02DNA,,,45860,Pelje_ki_kanal_,Water,,DNA?,2025203,42.9401111,17.2377778,0
MA03Wb02DNA,,,45860,Pelje_ki_kanal_,Water,,DNA?,2025203,42.9401111,17.2377778,0
MA04Wa02DNA,,,45860,Pelje_ki_kanal_,Water,,DNA?,2025203,42.9401111,17.2377778,28
MA04Wb02DNA,,,45860,Pelje_ki_kanal_,Water,,DNA?,2025203,42.9401111,17.2377778,28
MA05Wa02DNA,,,45860,Pelje_ki_kanal_,Water,,DNA?,2025203,42.9401111,17.2377778,56
MA05Wb02DNA,,,45860,Pelje_ki_kanal_,Water,,DNA?,2025203,42.9401111,17.2377778,56
MA06Wa02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.932,17.6047222,0
MA06Wb02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.932,17.6047222,0
MA07Wa02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.932,17.6047222,25
MA07Wb02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.932,17.6047222,25
MA08Wa02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.9936111,17.5402778,0
MA08Wb02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.9936111,17.5402778,0
MA09Wa02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.9936111,17.5402778,25
MA09Wb02DNA,,,45861,Malo_more_,Water,,DNA?,2025204,42.9936111,17.5402778,25
MA10Wa02DNA,,,45862,Neretvanski_kanal_,Water,,DNA?,2025205,43.05,17.13,0
MA10Wb02DNA,,,45862,Neretvanski_kanal_,Water,,DNA?,2025205,43.05,17.13,0
MA11Wa02DNA,,,45862,Neretvanski_kanal_,Water,,DNA?,2025205,43.05,17.13,25
MA11Wb02DNA,,,45862,Neretvanski_kanal_,Water,,DNA?,2025205,43.05,17.13,25
MA12Wa02DNA,,,45862,Neretvanski_kanal_,Water,,DNA?,2025205,43.05,17.13,45
MA12Wb02DNA,,,45862,Neretvanski_kanal_,Water,,DNA?,2025205,43.05,17.13,45
MAHR2SDNA,MAHR2SDNA,,45859,Bistrina,Sediment,,DNA,2025202,42.8708889,17.70386111,8
MAHR7SDNA,,,45861,Malo_more,Sediment,,DNA,2025204,43.07,17.60472222,25
MAHR9SDNA,,,45861,Malo_more,Sediment,,DNA,2025204,42.99361111,17.54027778,25
NACAO302WDNA,,,45545,CAO3,Water,,DNA,2024254,45.534022,12.866505,0
NACAO1202WDNA,,,45545,CAO12,Water,,DNA,2024254,45.42478,12.750606,0
NADEL302WDNA,NADEL302WDNA,,45594,DEL3,Water,,DNA,2024303,44.84805,12.5447,0
NADEL1202WDNA,,,45594,DEL12,Water,,DNA,2024303,44.859583,12.646267,0
NAVEN302WDNA,,,45587,VEN3,Water,,DNA,2024296,45.279083,12.3713,0
NAVEN1202WDNA,,,45587,VEN12,Water,,DNA,2024296,45.310617,12.486417,0
NACAO3SDNA,,,45538,CAO3,Sediment,,DNA,2024247,45.534022,12.866505,16.5
NACAO12SDNA,,,45537,CAO12,Sediment,,DNA,2024246,45.42478,12.750606,20
NADEL3SDNA,NADEL3SDNA,,45594,DEL3,Sediment,,DNA,2024303,44.84805,12.5447,21
NADEL12SDNA,,,45594,DEL12,Sediment,,DNA,2024303,44.859583,12.646267,25
NAVEN3SDNA,,,45588,VEN3,Sediment,,DNA,2024297,45.279083,12.3713,16
NAVEN12SDNA,,,45587,VEN12,Sediment,,DNA,2024296,45.310617,12.486417,19
TYFA02WDNA,TYFA02WDNA,,45971,FASUP,Water,,DNA,2025314,43.6812,10.25865,0.5
TYFM3102WDNA,,,45971,FM3SUP,Water,,DNA,2025314,43.73955,10.207933,0.5
